team,entries,fast_entries,shots_after_entry,goals_after_entry,avg_seconds_to_entry,avg_players_before_entry,shot_rate_after_entry,goal_rate_after_entry,fast_entry_share
Argentina,248,172,54,8,16.068548387096776,4.278225806451613,0.21774193548387097,0.03225806451612903,0.6935483870967742
Australia,105,80,14,3,12.99047619047619,3.8476190476190477,0.13333333333333333,0.02857142857142857,0.7619047619047619
Belgium,95,63,22,1,18.71578947368421,4.568421052631579,0.23157894736842105,0.010526315789473684,0.6631578947368421
Brazil,222,162,55,6,26.945945945945947,3.9594594594594597,0.24774774774774774,0.02702702702702703,0.7297297297297297
Cameroon,88,74,18,3,11.977272727272727,3.5,0.20454545454545456,0.03409090909090909,0.8409090909090909
Canada,117,96,24,1,11.521367521367521,3.641025641025641,0.20512820512820512,0.008547008547008548,0.8205128205128205
Costa Rica,49,39,3,1,12.46938775510204,3.7755102040816326,0.061224489795918366,0.02040816326530612,0.7959183673469388
Croatia,275,194,46,6,15.25090909090909,4.174545454545455,0.16727272727272727,0.02181818181818182,0.7054545454545454
Denmark,127,79,18,0,17.41732283464567,4.173228346456693,0.14173228346456693,0.0,0.6220472440944882
Ecuador,75,59,12,2,12.88,3.7333333333333334,0.16,0.02666666666666667,0.7866666666666666
England,171,101,32,8,19.432748538011698,4.555555555555555,0.1871345029239766,0.04678362573099415,0.5906432748538012
France,252,175,58,12,15.571428571428571,4.265873015873016,0.23015873015873015,0.047619047619047616,0.6944444444444444
Germany,137,99,39,5,14.540145985401459,4.138686131386861,0.2846715328467153,0.0364963503649635,0.7226277372262774
Ghana,82,63,18,4,13.195121951219512,3.8902439024390243,0.21951219512195122,0.04878048780487805,0.7682926829268293
Iran,86,75,19,2,11.709302325581396,3.5348837209302326,0.22093023255813954,0.023255813953488372,0.872093023255814
Japan,114,94,22,3,12.578947368421053,3.780701754385965,0.19298245614035087,0.02631578947368421,0.8245614035087719
Mexico,108,76,19,0,14.277777777777779,3.935185185185185,0.17592592592592593,0.0,0.7037037037037037
Morocco,172,125,39,3,14.69767441860465,4.0523255813953485,0.22674418604651161,0.01744186046511628,0.7267441860465116
Netherlands,191,132,23,7,17.523560209424083,4.2460732984293195,0.12041884816753927,0.03664921465968586,0.6910994764397905
Poland,97,80,11,1,12.02061855670103,3.3608247422680413,0.1134020618556701,0.010309278350515464,0.8247422680412371
Portugal,192,137,40,8,14.802083333333334,4.104166666666667,0.20833333333333334,0.041666666666666664,0.7135416666666666
Qatar,81,57,16,1,15.654320987654321,4.172839506172839,0.19753086419753085,0.012345679012345678,0.7037037037037037
Saudi Arabia,92,84,17,3,10.804347826086957,3.641304347826087,0.18478260869565216,0.03260869565217391,0.9130434782608695
Senegal,115,96,29,2,12.243478260869566,3.5043478260869567,0.25217391304347825,0.017391304347826087,0.8347826086956521
Serbia,103,78,16,3,12.339805825242719,3.533980582524272,0.1553398058252427,0.02912621359223301,0.7572815533980582
South Korea,127,86,27,3,16.086614173228348,4.440944881889764,0.2125984251968504,0.023622047244094488,0.6771653543307087
Spain,188,102,35,8,20.329787234042552,4.888297872340425,0.18617021276595744,0.0425531914893617,0.5425531914893617
Switzerland,122,85,17,3,15.081967213114755,4.114754098360656,0.13934426229508196,0.02459016393442623,0.6967213114754098
Tunisia,83,73,17,1,8.74698795180723,3.2409638554216866,0.20481927710843373,0.012048192771084338,0.8795180722891566
United States,154,107,33,2,15.448051948051948,4.01948051948052,0.21428571428571427,0.012987012987012988,0.6948051948051948
Uruguay,103,89,20,2,11.116504854368932,3.436893203883495,0.1941747572815534,0.019417475728155338,0.8640776699029126
Wales,75,59,15,0,13.066666666666666,3.5733333333333333,0.2,0.0,0.7866666666666666
