team,shots,goals,goals_analysed,finishing_efficiency,tournament_stage,tournament_progress_score,avg_passes_before_goal,avg_attack_duration
Argentina,110,23,23,0.209090909090909,Winner,7,3.5652173913043477,11.304347826086957
Australia,26,3,3,0.1153846153846153,Round of 16,2,6.0,18.0
Belgium,35,1,1,0.0285714285714285,Group Stage,1,24.0,89.0
Brazil,99,10,10,0.101010101010101,Quarter Final,3,6.6,22.5
Cameroon,28,4,4,0.1428571428571428,Group Stage,1,2.75,9.75
Canada,35,1,1,0.0285714285714285,Group Stage,1,11.0,40.0
Costa Rica,11,2,2,0.1818181818181818,Group Stage,1,2.0,5.5
Croatia,87,15,15,0.1724137931034483,Semi Final,4,4.266666666666667,13.066666666666666
Denmark,35,1,1,0.0285714285714285,Group Stage,1,1.0,2.0
Ecuador,30,4,4,0.1333333333333333,Group Stage,1,1.25,2.75
England,63,13,13,0.2063492063492063,Quarter Final,3,7.230769230769231,21.615384615384617
France,106,18,18,0.1698113207547169,Final,6,6.5,21.77777777777778
Germany,68,6,6,0.088235294117647,Group Stage,1,8.0,30.5
Ghana,25,5,5,0.2,Group Stage,1,9.4,31.2
Iran,33,4,4,0.1212121212121212,Group Stage,1,3.25,16.0
Japan,48,6,6,0.125,Round of 16,2,3.8333333333333335,13.0
Mexico,41,2,2,0.048780487804878,Group Stage,1,1.0,1.0
Morocco,66,9,9,0.1363636363636363,Semi Final,4,3.0,10.88888888888889
Netherlands,48,13,13,0.2708333333333333,Quarter Final,3,6.076923076923077,20.46153846153846
Poland,31,3,3,0.0967741935483871,Round of 16,2,1.6666666666666667,9.0
Portugal,66,12,12,0.1818181818181818,Quarter Final,3,5.083333333333333,16.5
Qatar,20,1,1,0.05,Group Stage,1,6.0,30.0
Saudi Arabia,30,3,3,0.1,Group Stage,1,5.0,20.666666666666668
Senegal,50,5,5,0.1,Round of 16,2,3.0,11.0
Serbia,32,5,5,0.15625,Group Stage,1,2.0,7.0
South Korea,48,5,5,0.1041666666666666,Round of 16,2,3.0,12.6
Spain,51,9,9,0.1764705882352941,Round of 16,2,18.22222222222222,57.666666666666664
Switzerland,37,5,5,0.1351351351351351,Round of 16,2,6.4,20.6
Tunisia,32,1,1,0.03125,Group Stage,1,2.0,7.0
United States,46,3,3,0.0652173913043478,Round of 16,2,7.0,16.0
Uruguay,33,2,2,0.0606060606060606,Group Stage,1,7.5,20.5
Wales,24,1,1,0.0416666666666666,Group Stage,1,0.0,0.0
