player,team,shots,goals,total_xg
Lionel Andrés Messi Cuccittini,Argentina,34,9,7.598649225
Kylian Mbappé Lottin,France,32,9,5.016751877
Robert Lewandowski,Poland,12,2,3.125917802
Olivier Giroud,France,17,4,3.0359552720000003
Lautaro Javier Martínez,Argentina,15,1,2.905046753
Breel-Donald Embolo,Switzerland,6,2,2.391196598
Harry Kane,England,12,2,2.330979943
Nikola Vlašić,Croatia,7,2,2.1955534329999997
Neymar da Silva Santos Junior,Brazil,12,2,2.129257917
Randal Kolo Muani,France,5,2,2.050369225
Cristiano Ronaldo dos Santos Aveiro,Portugal,11,1,1.939259267
Enner Remberto Valencia Lastra,Ecuador,9,3,1.9245922759999998
